Date;USD;Euro;Leva
05-05-2017;3,55;3,87;1,99
12-05-2017;3,58;3,91;2,01
19-05-2017;3,57;3,92;2,02
26-05-2017;3,58;4,01;2,06
02-06-2017;3,56;3,99;2,05
09-06-2017;3,53;3,97;2,04
16-06-2017;3,52;3,94;2,03
23-06-2017;3,52;3,93;2,02
30-06-2017;3,52;3,98;2,05
07-07-2017;3,57;4,05;2,08
14-07-2017;3,61;4,12;2,12
21-07-2017;3,54;4,07;2,09
28-07-2017;3,55;4,14;2,13
04-08-2017;3,53;4,17;2,14
11-08-2017;3,54;4,17;2,14
18-08-2017;3,53;4,15;2,14
25-08-2017;3,51;4,13;2,12
01-09-2017;3,46;4,13;2,12
08-09-2017;3,44;4,11;2,12
15-09-2017;3,43;4,11;2,11
22-09-2017;3,48;4,16;2,14
29-09-2017;3,54;4,19;2,16
06-10-2017;3,57;4,20;2,16
13-10-2017;3,67;4,32;2,22
20-10-2017;3,66;4,32;2,22
27-10-2017;3,72;4,38;2,25
03-11-2017;3,80;4,42;2,27
10-11-2017;3,86;4,48;2,30
17-11-2017;3,88;4,54;2,34
24-11-2017;3,93;4,62;2,38
01-12-2017;3,94;4,68;2,41
08-12-2017;3,89;4,61;2,37
15-12-2017;3,84;4,53;2,33
22-12-2017;3,85;4,55;2,34
29-12-2017;3,82;4,54;2,33
05-01-2018;3,77;4,53;2,33
12-01-2018;3,77;4,52;2,32
19-01-2018;3,80;4,63;2,38
26-01-2018;3,78;4,65;2,39
02-02-2018;3,77;4,68;2,41
09-02-2018;3,78;4,68;2,41
16-02-2018;3,80;4,69;2,41
23-02-2018;3,78;4,68;2,40
02-03-2018;3,80;4,66;2,40
09-03-2018;3,81;4,71;2,42
16-03-2018;3,85;4,76;2,45
23-03-2018;3,93;4,84;2,49
30-03-2018;3,99;4,93;2,54
06-04-2018;3,99;4,91;2,52
13-04-2018;4,10;5,05;2,59
20-04-2018;4,09;5,05;2,60
27-04-2018;4,07;4,98;2,56
04-05-2018;4,11;4,95;2,54
11-05-2018;4,28;5,09;2,62
18-05-2018;4,38;5,21;2,68
25-05-2018;4,64;5,45;2,80
01-06-2018;4,58;5,34;2,75
08-06-2018;4,61;5,40;2,78
15-06-2018;4,56;5,37;2,76
22-06-2018;4,73;5,49;2,82
29-06-2018;4,66;5,43;2,79
06-07-2018;4,64;5,41;2,78
13-07-2018;4,69;5,49;2,83
20-07-2018;4,83;5,64;2,90
27-07-2018;4,81;5,62;2,89
03-08-2018;4,93;5,75;2,96
10-08-2018;5,24;6,07;3,12
17-08-2018;6,27;7,14;3,67
24-08-2018;6,01;6,84;3,52
31-08-2018;6,21;7,20;3,70
07-09-2018;6,64;7,70;3,96
14-09-2018;6,44;7,47;3,84
21-09-2018;6,27;7,32;3,77
28-09-2018;6,17;7,26;3,73
05-10-2018;6,03;6,97;3,59
12-10-2018;6,11;7,03;3,61
19-10-2018;5,76;6,66;3,42
26-10-2018;5,70;6,52;3,35
02-11-2018;5,56;6,32;3,25
09-11-2018;5,41;6,18;3,18
16-11-2018;5,47;6,18;3,18
23-11-2018;5,34;6,09;3,13
30-11-2018;5,24;5,95;3,06
07-12-2018;5,28;6,00;3,08
14-12-2018;5,35;6,08;3,13
21-12-2018;5,35;6,08;3,13
28-12-2018;5,30;6,04;3,11
04-01-2019;5,34;6,11;3,14
11-01-2019;5,44;6,23;3,20
18-01-2019;5,44;6,22;3,20
25-01-2019;5,33;6,06;3,12
01-02-2019;5,28;6,03;3,10
08-02-2019;5,22;5,96;3,06
15-02-2019;5,27;5,96;3,06
22-02-2019;5,30;6,00;3,09
01-03-2019;5,31;6,04;3,11
08-03-2019;5,39;6,11;3,14
15-03-2019;5,46;6,15;3,16
22-03-2019;5,47;6,21;3,19
29-03-2019;5,52;6,23;3,20
05-04-2019;5,61;6,30;3,24
12-04-2019;5,67;6,38;3,28
19-04-2019;5,79;6,54;3,36
26-04-2019;5,85;6,56;3,37
03-05-2019;5,95;6,65;3,42
10-05-2019;6,10;6,83;3,51
17-05-2019;6,07;6,81;3,50
24-05-2019;6,08;6,78;3,49
31-05-2019;6,03;6,74;3,46
07-06-2019;5,87;6,54;3,36
14-06-2019;5,82;6,58;3,38
21-06-2019;5,85;6,57;3,38
28-06-2019;5,78;6,57;3,38
05-07-2019;5,68;6,42;3,30
12-07-2019;5,70;6,40;3,29
19-07-2019;5,70;6,41;3,30
26-07-2019;5,69;6,36;3,27
02-08-2019;5,60;6,23;3,20
09-08-2019;5,54;6,18;3,18
16-08-2019;5,54;6,19;3,18
23-08-2019;5,67;6,28;3,23
30-08-2019;5,81;6,44;3,31
06-09-2019;5,76;6,34;3,26
13-09-2019;5,74;6,34;3,26
20-09-2019;5,70;6,31;3,24
27-09-2019;5,70;6,26;3,22
04-10-2019;5,69;6,21;3,19
11-10-2019;5,80;6,37;3,28
18-10-2019;5,89;6,51;3,35
25-10-2019;5,80;6,45;3,32
01-11-2019;5,75;6,40;3,29
08-11-2019;5,73;6,38;3,28
15-11-2019;5,77;6,36;3,27
22-11-2019;5,73;6,33;3,26
29-11-2019;5,74;6,33;3,25
06-12-2019;5,75;6,36;3,27
13-12-2019;5,80;6,43;3,30
20-12-2019;5,87;6,54;3,36
27-12-2019;5,94;6,59;3,39
03-01-2020;5,95;6,66;3,42
10-01-2020;5,96;6,64;3,41
17-01-2020;5,88;6,55;3,37
24-01-2020;5,91;6,56;3,37
31-01-2020;5,95;6,56;3,37
07-02-2020;5,99;6,61;3,40
14-02-2020;6,02;6,58;3,38
21-02-2020;6,07;6,57;3,38
28-02-2020;6,14;6,67;3,43
06-03-2020;6,17;6,85;3,52
13-03-2020;6,15;6,96;3,58
20-03-2020;6,42;7,10;3,65
27-03-2020;6,50;7,02;3,61
03-04-2020;6,58;7,23;3,72
10-04-2020;6,75;7,32;3,76
17-04-2020;6,81;7,44;3,82
24-04-2020;6,95;7,54;3,88
01-05-2020;6,99;7,57;3,89
08-05-2020;7,09;7,70;3,96
15-05-2020;7,03;7,62;3,92
22-05-2020;6,85;7,45;3,83
29-05-2020;6,79;7,45;3,83
05-06-2020;6,79;7,58;3,90
12-06-2020;6,79;7,69;3,95
19-06-2020;6,84;7,71;3,97
26-06-2020;6,86;7,71;3,97
03-07-2020;6,85;7,71;3,96
10-07-2020;6,86;7,74;3,98
17-07-2020;6,86;7,78;4,00
24-07-2020;6,85;7,87;4,05
31-07-2020;6,89;8,05;4,14
07-08-2020;7,02;8,28;4,26
14-08-2020;7,30;8,60;4,42
21-08-2020;7,36;8,73;4,49
28-08-2020;7,33;8,66;4,45
04-09-2020;7,36;8,75;4,50
11-09-2020;7,46;8,81;4,53
18-09-2020;7,49;8,87;4,56
25-09-2020;7,62;8,96;4,61
02-10-2020;7,73;9,03;4,64
09-10-2020;7,80;9,17;4,71
16-10-2020;7,91;9,31;4,79
23-10-2020;7,87;9,28;4,77
30-10-2020;8,07;9,54;4,90
06-11-2020;8,42;9,85;5,06
13-11-2020;8,16;9,65;4,96
20-11-2020;7,70;9,12;4,69
27-11-2020;7,83;9,31;4,79
04-12-2020;7,83;9,40;4,84
11-12-2020;7,83;9,50;4,88
18-12-2020;7,85;9,55;4,91
25-12-2020;7,66;9,36;4,81
01-01-2021;7,46;9,12;4,69
08-01-2021;7,37;9,06;4,66
15-01-2021;7,43;9,05;4,65
22-01-2021;7,44;9,02;4,64
29-01-2021;7,39;8,97;4,61
05-02-2021;7,20;8,69;4,47
